addAtIndex, , addToFront, , addToBack, , removeAtIndex, , removeFromFront, , removeFromBack, , get, , 
n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), 
54001, 203479, 54002, 3023, 54003, 3747, 54002, 96021, 54001, 3444, 54000, 2379, 54001, 72361, 
55001, 231789, 55002, 3556, 55003, 3761, 55002, 104895, 55001, 4069, 55000, 1682, 55001, 75418, 
56001, 614777, 56002, 7251, 56003, 4181, 56002, 107629, 56001, 4018, 56000, 1980, 56001, 190188, 
57001, 209485, 57002, 2745, 57003, 4174, 57002, 103796, 57001, 3665, 57000, 1898, 57001, 88969, 
58001, 217207, 58002, 2496, 58003, 3519, 58002, 98940, 58001, 2997, 58000, 1867, 58001, 91946, 
59001, 204327, 59002, 2993, 59003, 3502, 59002, 85944, 59001, 3486, 59000, 2411, 59001, 76290, 
60001, 226091, 60002, 2740, 60003, 3028, 60002, 101228, 60001, 3757, 60000, 1909, 60001, 96604, 
61001, 285791, 61002, 3023, 61003, 3739, 61002, 103383, 61001, 3065, 61000, 2134, 61001, 101559, 
62001, 294387, 62002, 3785, 62003, 4199, 62002, 142195, 62001, 6410, 62000, 2389, 62001, 132717, 
63001, 305717, 63002, 5165, 63003, 7190, 63002, 135118, 63001, 5438, 63000, 2693, 63001, 132102, 
64001, 347169, 64002, 6707, 64003, 6268, 64002, 151637, 64001, 7570, 64000, 2988, 64001, 122889, 
65001, 296191, 65002, 3491, 65003, 5176, 65002, 136813, 65001, 4301, 65000, 3266, 65001, 125032, 
66001, 368323, 66002, 5590, 66003, 6214, 66002, 116514, 66001, 4238, 66000, 2509, 66001, 101653, 
67001, 357340, 67002, 6617, 67003, 4334, 67002, 130980, 67001, 7702, 67000, 2856, 67001, 105019, 
68001, 344791, 68002, 7460, 68003, 4824, 68002, 133290, 68001, 6981, 68000, 3996, 68001, 122672, 
69001, 276468, 69002, 6383, 69003, 4822, 69002, 112764, 69001, 4963, 69000, 2172, 69001, 127852, 
70001, 304918, 70002, 4348, 70003, 5265, 70002, 110742, 70001, 2788, 70000, 2415, 70001, 74958, 
71001, 302767, 71002, 5385, 71003, 5057, 71002, 136265, 71001, 4761, 71000, 2357, 71001, 106836, 
72001, 293804, 72002, 6177, 72003, 4652, 72002, 123613, 72001, 4631, 72000, 2314, 72001, 115422, 
73001, 290638, 73002, 5457, 73003, 5615, 73002, 124442, 73001, 4913, 73000, 2796, 73001, 435520, 
74001, 316173, 74002, 6258, 74003, 6574, 74002, 166227, 74001, 5738, 74000, 2179, 74001, 126330, 
75001, 398447, 75002, 7444, 75003, 4457, 75002, 166664, 75001, 4606, 75000, 2150, 75001, 136064, 
76001, 416321, 76002, 6111, 76003, 4679, 76002, 174565, 76001, 4310, 76000, 2789, 76001, 163732, 
